"Student Name","School Name",County,City,Grade
"Quincy Synder","Graham Elementary School",Hays,Austin,A
"Alberto Vo","Graham Elementary School",Hays,Austin,B
"Jefferson Strassburg","Graham Elementary School",Hays,Austin,F
"Warner Vicini","Graham Elementary School",Hays,Austin,D
"Renato Evert","Graham Elementary School",Hays,Austin,A
"Everett Thibodeau","Live Oak Elementary School",Travis,Austin,C
"Gustavo Chavez","Live Oak Elementary School",Travis,Austin,A
"Terisa Trogdon","Live Oak Elementary School",Travis,Austin,F
"Brandi Cowans","Live Oak Elementary School",Travis,Austin,B
"Jesenia Nicoll","Live Oak Elementary School",Travis,Austin,A
"Shery Eicher","Lakeway Elementary School",Travis,Austin,A
"Ciara Kunkle","Lakeway Elementary School",Travis,Austin,F
"Mirna Bremner","Lakeway Elementary School",Travis,Austin,A
"Herschel Keil","Lakeway Elementary School",Travis,Austin,F
"Stacey Clampitt","Lakeway Elementary School",Travis,Austin,D
"Edison Kuether","Rosemont Elementary School",Dallas,Dallas,A
"Stanford Amaral","Rosemont Elementary School",Dallas,Dallas,F
"Lacy Doom","Rosemont Elementary School",Dallas,Dallas,B
"Nikia Cullinan","Rosemont Elementary School",Dallas,Dallas,F
"Mike Lapointe","Rosemont Elementary School",Dallas,Dallas,F
"Margo Diggins","Carroll Academy",Galveston,Houston,A
"Shirleen Wainright","Carroll Academy",Galveston,Houston,B
"Piedad Mcjunkin","Carroll Academy",Galveston,Houston,C
"Sparkle Silveria","Carroll Academy",Galveston,Houston,A
"Gilda Hanselman","Carroll Academy",Galveston,Houston,D
