"Student Name","School Name",County,City,Grade
"Mirna Bremner","Lakeway Elementary School",Travis,Austin,A
"Jesenia Nicoll","Live Oak Elementary School",Travis,Austin,A
"Gustavo Chavez","Live Oak Elementary School",Travis,Austin,A
"Margo Diggins","Carroll Academy",Galveston,Houston,A
"Sparkle Silveria","Carroll Academy",Galveston,Houston,A
"Renato Evert","Graham Elementary School",Hays,Austin,A
"Edison Kuether","Rosemont Elementary School",Dallas,Dallas,A
"Quincy Synder","Graham Elementary School",Hays,Austin,A
"Shery Eicher","Lakeway Elementary School",Travis,Austin,A
"Alberto Vo","Graham Elementary School",Hays,Austin,B
"Shirleen Wainright","Carroll Academy",Galveston,Houston,B
"Brandi Cowans","Live Oak Elementary School",Travis,Austin,B
"Lacy Doom","Rosemont Elementary School",Dallas,Dallas,B
"Everett Thibodeau","Live Oak Elementary School",Travis,Austin,C
"Piedad Mcjunkin","Carroll Academy",Galveston,Houston,C
